scenario_id,method,hardware_profile,environment,range_bin_lower_m,range_bin_upper_m,attempted_fixes,valid_fixes,measurement_bias_m,measurement_rmse_m,horizontal_rmse_m,vertical_rmse_m,error_3d_rmse_m,p50_m,p90_m,p95_m,p99_m,availability,dropout_rate,los_fraction,nlos_fraction,evidence_evidence_type,evidence_source_name,evidence_source_url,evidence_source_scope,evidence_retrieved_date,evidence_confidence,evidence_caveats
scenario-000000,UWB_SS_TWR,unspecified,20x20x6m,5,10,20,20,-0.06528300740665342,0.12924846477239565,0.21924585254997564,0.6279865871041588,0.6651585506051131,0.6256016317728607,0.8942018929844404,0.9354722977459233,1.2190585588352014,1.0,0.0,,,SIMULATED_MONTE_CARLO,Configured Gaussian/NLOS-bias range-error model,,"Synthetic model: N(0, 0.1500 m) range noise, plus a 0.500 m bias applied to a randomly selected 10% of attempts. Parameters come directly from this scenario's configuration, not from a measurement or a hardware-calibrated fit.",,,
scenario-000000,UWB_SS_TWR,unspecified,20x20x6m,10,20,60,60,0.0014851937276003202,0.14090302644744132,0.19361017432295927,0.6091658918317162,0.6391932285095775,0.4237490607221257,0.8990905096963271,1.2702016428557101,1.738966735266828,1.0,0.0,,,SIMULATED_MONTE_CARLO,Configured Gaussian/NLOS-bias range-error model,,"Synthetic model: N(0, 0.1500 m) range noise, plus a 0.500 m bias applied to a randomly selected 10% of attempts. Parameters come directly from this scenario's configuration, not from a measurement or a hardware-calibrated fit.",,,
scenario-000000,UWB_SS_TWR,unspecified,20x20x6m,20,30,20,20,0.08586763918045763,0.14409307957593082,0.19666760450411128,0.3003049303221512,0.3589724193265795,0.31642832281872035,0.5480385373243739,0.5534392722556002,0.5703930849193579,1.0,0.0,,,SIMULATED_MONTE_CARLO,Configured Gaussian/NLOS-bias range-error model,,"Synthetic model: N(0, 0.1500 m) range noise, plus a 0.500 m bias applied to a randomly selected 10% of attempts. Parameters come directly from this scenario's configuration, not from a measurement or a hardware-calibrated fit.",,,
scenario-000001,UWB_SS_TWR,unspecified,20x20x6m,5,10,20,20,-0.06528300740665342,0.12924846477239565,0.21924585254997564,0.6279865871041588,0.6651585506051131,0.6256016317728607,0.8942018929844404,0.9354722977459233,1.2190585588352014,1.0,0.0,,,SIMULATED_MONTE_CARLO,Configured Gaussian/NLOS-bias range-error model,,"Synthetic model: N(0, 0.1500 m) range noise, plus a 0.500 m bias applied to a randomly selected 10% of attempts. Parameters come directly from this scenario's configuration, not from a measurement or a hardware-calibrated fit.",,,
scenario-000001,UWB_SS_TWR,unspecified,20x20x6m,10,20,60,60,0.0014851937276003202,0.14090302644744132,0.19361017432295927,0.6091658918317162,0.6391932285095775,0.4237490607221257,0.8990905096963271,1.2702016428557101,1.738966735266828,1.0,0.0,,,SIMULATED_MONTE_CARLO,Configured Gaussian/NLOS-bias range-error model,,"Synthetic model: N(0, 0.1500 m) range noise, plus a 0.500 m bias applied to a randomly selected 10% of attempts. Parameters come directly from this scenario's configuration, not from a measurement or a hardware-calibrated fit.",,,
scenario-000001,UWB_SS_TWR,unspecified,20x20x6m,20,30,20,20,0.08586763918045763,0.14409307957593082,0.19666760450411128,0.3003049303221512,0.3589724193265795,0.31642832281872035,0.5480385373243739,0.5534392722556002,0.5703930849193579,1.0,0.0,,,SIMULATED_MONTE_CARLO,Configured Gaussian/NLOS-bias range-error model,,"Synthetic model: N(0, 0.1500 m) range noise, plus a 0.500 m bias applied to a randomly selected 10% of attempts. Parameters come directly from this scenario's configuration, not from a measurement or a hardware-calibrated fit.",,,
scenario-000002,UWB_SS_TWR,unspecified,20x20x6m,5,10,20,20,-0.06528300740665342,0.12924846477239565,0.21924585254997564,0.6279865871041588,0.6651585506051131,0.6256016317728607,0.8942018929844404,0.9354722977459233,1.2190585588352014,1.0,0.0,,,SIMULATED_MONTE_CARLO,Configured Gaussian/NLOS-bias range-error model,,"Synthetic model: N(0, 0.1500 m) range noise, plus a 0.500 m bias applied to a randomly selected 10% of attempts. Parameters come directly from this scenario's configuration, not from a measurement or a hardware-calibrated fit.",,,
scenario-000002,UWB_SS_TWR,unspecified,20x20x6m,10,20,60,60,0.0014851937276003202,0.14090302644744132,0.19361017432295927,0.6091658918317162,0.6391932285095775,0.4237490607221257,0.8990905096963271,1.2702016428557101,1.738966735266828,1.0,0.0,,,SIMULATED_MONTE_CARLO,Configured Gaussian/NLOS-bias range-error model,,"Synthetic model: N(0, 0.1500 m) range noise, plus a 0.500 m bias applied to a randomly selected 10% of attempts. Parameters come directly from this scenario's configuration, not from a measurement or a hardware-calibrated fit.",,,
scenario-000002,UWB_SS_TWR,unspecified,20x20x6m,20,30,20,20,0.08586763918045763,0.14409307957593082,0.19666760450411128,0.3003049303221512,0.3589724193265795,0.31642832281872035,0.5480385373243739,0.5534392722556002,0.5703930849193579,1.0,0.0,,,SIMULATED_MONTE_CARLO,Configured Gaussian/NLOS-bias range-error model,,"Synthetic model: N(0, 0.1500 m) range noise, plus a 0.500 m bias applied to a randomly selected 10% of attempts. Parameters come directly from this scenario's configuration, not from a measurement or a hardware-calibrated fit.",,,
scenario-000003,UWB_SS_TWR,unspecified,20x20x6m,5,10,20,20,-0.06528300740665342,0.12924846477239565,0.21924585254997564,0.6279865871041588,0.6651585506051131,0.6256016317728607,0.8942018929844404,0.9354722977459233,1.2190585588352014,1.0,0.0,,,SIMULATED_MONTE_CARLO,Configured Gaussian/NLOS-bias range-error model,,"Synthetic model: N(0, 0.1500 m) range noise, plus a 0.500 m bias applied to a randomly selected 10% of attempts. Parameters come directly from this scenario's configuration, not from a measurement or a hardware-calibrated fit.",,,
